frame_idx,timestamp,ssim_loss,frame_diff_mean,brightness_delta,saturation_delta,optical_flow_magnitude_mean,optical_flow_angle_change,warp_ssim_loss,z_ssim_loss,z_frame_diff_mean,z_brightness_delta,z_saturation_delta,z_optical_flow_magnitude_mean,z_optical_flow_angle_change,z_warp_ssim_loss,instability_score,is_anomaly
30,1.250000008264463,0.07055183768494222,3.568097672325103,0.039662905092583856,0.28734471450617605,0.88692397,0.9325941,0.12662358762911896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
31,1.2916666752066117,0.08707562270221492,3.957885641718107,0.5435281635802482,1.6147352430555628,1.0187914,1.6536809,0.13927319722958964,0.0,0.0,1.3050421890388157,3.0513200490867534,0.0,1.7538833384437222,0.0,0.5149204899063197,False
32,1.3333333421487603,0.05478023812424482,3.0780822402263373,0.10994695216049877,0.44441888503087057,0.8353154,1.1750517,0.08906898860861612,0.0,0.0,0.0,0.0,0.0,0.5048113898877538,0.0,0.0403849111910203,False
33,1.3750000090909091,0.033695467220285935,1.929562917952675,0.02998794367283608,0.04003665123455846,0.59753895,1.6960287,0.048351105279743845,0.0,0.0,0.0,0.0,0.0,1.8643977650830734,0.0,0.14915182120664588,False
34,1.416666676033058,0.12539528846233983,5.426656378600823,0.6593971836419712,1.1102700617284,1.3007892,0.92717373,0.19678643295550358,0.8847921049583848,0.929167788700685,1.8302716591507415,1.695259187157095,0.9558903572537941,0.0,0.8369790163207239,0.9817728192242857,True
35,1.4583333429752068,0.09469225142667592,4.251189879115226,0.33094569830247167,0.2060619212962962,1.1018846,0.7460372,0.16232129646154758,0.1374399964141944,0.07980930589640062,0.3414146764089903,0.0,0.21427779039968092,0.0,0.26177960065652595,0.16109875270063445,False
36,1.5000000099173554,0.04385323414591946,2.4078944830246916,0.0770886381172744,0.026603009259261512,0.69537157,1.3241416,0.07192936424451102,0.0,0.0,0.0,0.0,0.0,0.8938892818914215,0.0,0.07151114255131372,False
37,1.5416666768595042,0.11127663640253815,4.610674993569959,0.06983796296296418,0.35600694444444514,1.1426337,1.4294835,0.17818721498574153,0.5411256339692749,0.3395629709626655,0.0,0.0,0.36621002098943123,1.1687985807500734,0.5265708648864683,0.4302564366223402,False
38,1.583333343801653,0.11792932296996494,5.07706757973251,0.11058931327160337,0.49665027006173545,1.2034527,0.6318498,0.19635739553068443,0.7030607326982634,0.6765649183150961,0.0,0.04577808442674479,0.5929727464767901,0.0,0.8298186768832949,0.5290972131278844,False
39,1.6250000107438016,0.0873143085496042,4.129877025462963,0.46748987268519215,1.329302662037037,1.0277392,1.3116876,0.14869033841196833,0.0,0.0,0.9603637649548613,2.2840441970240017,0.0,0.8613881680501307,0.034288289068767054,0.35452862351517017,False
40,1.6666666776859504,0.041181345001531144,2.3312157600308643,0.0539583333333411,0.2325766782407328,0.7283916,1.4258972,0.06276211567692047,0.0,0.0,0.0,0.0,0.0,1.1594394844486589,0.0,0.09275515875589271,False
41,1.7083333446280993,0.04584511132397073,2.7337590020576132,0.019888117283940687,0.03283613040123612,0.73343885,1.3650606,0.07255580068868395,0.0,0.0,0.0,0.0,0.0,1.0006748783130903,0.0,0.08005399026504723,False
42,1.750000011570248,0.12217228299069804,5.383423032407407,0.43683834876543415,0.9752464313271645,1.2697091,0.90673774,0.19446828696847518,0.8063399331982088,0.8979286088980605,0.8214216762246589,1.3323000228772823,0.8400086295219257,0.0,0.7982907547089682,0.8050074634327686,False
43,1.7916666785123967,0.09910789626869665,4.102553208590535,0.3998722029321016,0.5030015432098764,1.1490879,0.8014755,0.15704329064806766,0.24492257149083002,0.0,0.6538556678319171,0.06285104259793149,0.3902745061357336,0.0,0.17369331495972373,0.21367370976995628,False
44,1.8333333454545455,0.06290344154906347,3.0912345679012345,0.2886969521605067,0.08424430941357741,0.84161425,2.2650108,0.10759371239581683,0.0,0.0,0.14990285955564298,0.0,0.0,3.349262382672838,0.0,0.2829312765693913,False
45,1.8750000123966943,0.10639864870610283,4.858627668467078,0.006071566358016867,0.3103404706790087,1.128555,0.63865274,0.17093654286397653,0.42238902865726785,0.5187264842146752,0.0,0.0,0.31371813491617356,0.0,0.4055621357220474,0.31132931949591425,False
46,1.9166666793388432,0.12049323131762035,5.200921264146091,0.21378086419753117,0.3062823109567887,1.2246732,0.58370125,0.1931203073214799,0.7654696177707263,0.7660580493650025,0.0,0.0,0.6720928196342888,0.0,0.7757939018264939,0.5555455399093595,False
47,1.9583333462809918,0.05771326263148213,3.0364948238168723,0.4040051118827108,1.2815827546296248,0.74313366,2.1815736,0.10235083642668463,0.0,0.0,0.6725899729722643,2.155767556404614,0.0,3.1315174883277126,0.0,0.49024180087581254,False
48,2.000000013223141,0.04722485101013141,2.657622974537037,0.13565055941357684,0.3966936728395041,0.6635519,1.2683114,0.0796707930085846,0.0,0.0,0.0,0.0,0.0,0.7481898920625446,0.0,0.05985519136500357,False
49,2.041666680165289,0.06325700151742153,3.4629573366769546,0.11150028935185219,0.0007990933642076925,0.77262247,1.235562,0.10934562869784092,0.0,0.0,0.0,0.0,0.0,0.6627242075087207,0.0,0.05301793660069766,False
50,2.083333347107438,0.16469459041575818,6.7421875,0.4641714891975255,1.153944830246914,1.4516943,0.95823795,0.23653820556464034,1.8413885532213388,1.8797329624784125,0.9453216700107003,1.812662025715708,1.5185371499555178,0.0,1.5004087514793618,1.4956794953027803,True
51,2.125000014049587,0.11303563964443808,4.451044560185185,0.44906876929012185,0.6438073881172812,1.104822,0.8164245,0.16913169322298893,0.5839420752302151,0.22421858405889944,0.8768616660338919,0.44135346948006987,0.22522997130341624,0.0,0.3754404369717797,0.39844132921987824,False
52,2.1666666809917356,0.13078647504005503,5.535529835390946,0.3318055555555617,0.03336033950617434,1.411293,0.95290244,0.19632910130667458,1.016020642764937,1.0078366355945643,0.345312373732846,0.0,1.3679018823087123,0.0,0.82934646575133,0.796841929862078,False
53,2.2083333479338845,0.20146917944884757,7.714313914609053,0.11821421682098787,0.4328689236111103,1.5988283,0.9581275,0.2615114498631431,2.7365301844157113,2.5821637139865556,0.0,0.0,2.067124028752455,0.0,1.9171950169350962,1.7396624765013995,True
